name,age,link
Tom Abell,29,https://www.espncricinfo.com/cricketers/tom-abell-462727
Kasey Aldridge,23,https://www.espncricinfo.com/cricketers/kasey-aldridge-1173045
Moeen Ali,36,https://www.espncricinfo.com/cricketers/moeen-ali-8917
Martin Andersson,27,https://www.espncricinfo.com/cricketers/martin-andersson-641385
Hollie Armitage,26,https://www.espncricinfo.com/cricketers/hollie-armitage-715351
Tom Aspinwall,19,https://www.espncricinfo.com/cricketers/tom-aspinwall-1260230
Josh Baker,20,https://www.espncricinfo.com/cricketers/josh-baker-1265083
George Balderson,23,https://www.espncricinfo.com/cricketers/george-balderson-1146763
Ed Barnard,28,https://www.espncricinfo.com/cricketers/ed-barnard-578769
Luc Benkenstein,19,https://www.espncricinfo.com/cricketers/luc-benkenstein-1262575
Dom Bess,26,https://www.espncricinfo.com/cricketers/dom-bess-646847
Jacob Bethell,20,https://www.espncricinfo.com/cricketers/jacob-bethell-1194959
Ravi Bopara,38,https://www.espncricinfo.com/cricketers/ravi-bopara-10582
Scott Borthwick,33,https://www.espncricinfo.com/cricketers/scott-borthwick-310519
Chloe Brewer,21,https://www.espncricinfo.com/cricketers/chloe-brewer-1184180
Ethan Brookes,25,https://www.espncricinfo.com/cricketers/ethan-brookes-1150964
Alice Capsey,19,https://www.espncricinfo.com/cricketers/alice-capsey-1187120
Brydon Carse,28,https://www.espncricinfo.com/cricketers/brydon-carse-596417
Ella Claridge,25,https://www.espncricinfo.com/cricketers/ella-claridge-1100293
Jordan Clark,33,https://www.espncricinfo.com/cricketers/jordan-clark-301648
Josh Cobb,33,https://www.espncricinfo.com/cricketers/josh-cobb-308408
James Coles,19,https://www.espncricinfo.com/cricketers/james-coles-1231590
Paul Coughlin,31,https://www.espncricinfo.com/cricketers/paul-coughlin-517542
Matt Critchley,27,https://www.espncricinfo.com/cricketers/matt-critchley-776695
Steven Croft,39,https://www.espncricinfo.com/cricketers/steven-croft-11745
Sam Curran,25,https://www.espncricinfo.com/cricketers/sam-curran-662973
Tom Curran,28,https://www.espncricinfo.com/cricketers/tom-curran-550235
Scott Currie,22,https://www.espncricinfo.com/cricketers/scott-currie-1104697
Brett D'Oliveira,31,https://www.espncricinfo.com/cricketers/brett-d-oliveira-471202
Anuj Dal,27,https://www.espncricinfo.com/cricketers/anuj-dal-644045
Naomi Dattani,29,https://www.espncricinfo.com/cricketers/naomi-dattani-885851
Alice Davidson-Richards,29,https://www.espncricinfo.com/cricketers/alice-davidson-richards-515876
Liam Dawson,33,https://www.espncricinfo.com/cricketers/liam-dawson-211855
Charlie Dean,23,https://www.espncricinfo.com/cricketers/charlie-dean-1039421
Dan Douthwaite,26,https://www.espncricinfo.com/cricketers/dan-douthwaite-885181
Sophia Dunkley,25,https://www.espncricinfo.com/cricketers/sophia-dunkley-885815
Bethan Ellis,24,https://www.espncricinfo.com/cricketers/bethan-ellis-885785
Georgia Elwiss,32,https://www.espncricinfo.com/cricketers/georgia-elwiss-297036
Ria Fackrell,24,https://www.espncricinfo.com/cricketers/ria-fackrell-1100307
Nathan Fernandes,19,https://www.espncricinfo.com/cricketers/nathan-fernandes-1260075
Will Fraine,27,https://www.espncricinfo.com/cricketers/will-fraine-870785
Abigail Freeborn,27,https://www.espncricinfo.com/cricketers/abigail-freeborn-914651
James Fuller,33,https://www.espncricinfo.com/cricketers/james-fuller-451782
Joanne Gardner,26,https://www.espncricinfo.com/cricketers/joanne-gardner-877447
George Garton,26,https://www.espncricinfo.com/cricketers/george-garton-643433
Mahika Gaur,17,https://www.espncricinfo.com/cricketers/mahika-gaur-1171433
Danielle Gibson,22,https://www.espncricinfo.com/cricketers/danielle-gibson-886203
Sarah Glenn,24,https://www.espncricinfo.com/cricketers/sarah-glenn-885837
Lewis Goldsworthy,23,https://www.espncricinfo.com/cricketers/lewis-goldsworthy-1094990
Teresa Graves,25,https://www.espncricinfo.com/cricketers/teresa-graves-1001295
Ben Green,26,https://www.espncricinfo.com/cricketers/ben-green-755459
Lewis Gregory,31,https://www.espncricinfo.com/cricketers/lewis-gregory-362201
Alex Griffiths,21,https://www.espncricinfo.com/cricketers/alex-griffiths-564771
Bethany Harmer,23,https://www.espncricinfo.com/cricketers/bethany-harmer-885983
James Harris,33,https://www.espncricinfo.com/cricketers/james-harris-212739
Calvin Harrison,25,https://www.espncricinfo.com/cricketers/calvin-harrison-859899
Nicole Harvey,31,https://www.espncricinfo.com/cricketers/nicole-harvey-1264425
Ryan Higgins,29,https://www.espncricinfo.com/cricketers/ryan-higgins-572199
Lucy Higham,26,https://www.espncricinfo.com/cricketers/lucy-higham-874201
George Hill,22,https://www.espncricinfo.com/cricketers/george-hill-1114952
Niamh Holland,19,https://www.espncricinfo.com/cricketers/niamh-holland-1184165
Luke Hollman,23,https://www.espncricinfo.com/cricketers/luke-hollman-1096123
Benny Howell,35,https://www.espncricinfo.com/cricketers/benny-howell-211748
Fynn Hudson-Prentice,28,https://www.espncricinfo.com/cricketers/fynn-hudson-prentice-571102
Brett Hutton,30,https://www.espncricinfo.com/cricketers/brett-hutton-469802
Danial Ibrahim,19,https://www.espncricinfo.com/cricketers/danial-ibrahim-1260070
Will Jacks,25,https://www.espncricinfo.com/cricketers/will-jacks-897549
Laura Jackson,25,https://www.espncricinfo.com/cricketers/laura-jackson-879347
Lyndon James,25,https://www.espncricinfo.com/cricketers/lyndon-james-1046871
Eve Jones,31,https://www.espncricinfo.com/cricketers/eve-jones-858807
Katherine Sciver-Brunt,38,https://www.espncricinfo.com/cricketers/katherine-sciver-brunt-53906
Rob Keogh,32,https://www.espncricinfo.com/cricketers/rob-keogh-408413
Danny Lamb,28,https://www.espncricinfo.com/cricketers/danny-lamb-637151
Emma Lamb,26,https://www.espncricinfo.com/cricketers/emma-lamb-749957
Tom Lammonby,23,https://www.espncricinfo.com/cricketers/tom-lammonby-902907
Tom Lawes,21,https://www.espncricinfo.com/cricketers/tom-lawes-1264775
Joe Leach,33,https://www.espncricinfo.com/cricketers/joe-leach-355092
Ned Leonard,21,https://www.espncricinfo.com/cricketers/ned-leonard-1144683
Arron Lilley,32,https://www.espncricinfo.com/cricketers/arron-lilley-520551
Liam Livingstone,30,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
