name,age,link
Aarya Desai,20,https://www.espncricinfo.com/cricketers/aarya-desai-1353014
Abdul Basith,25,https://www.espncricinfo.com/cricketers/abdul-basith-1287067
Abdul Samad,22,https://www.espncricinfo.com/cricketers/abdul-samad-1175485
Abhijeet Saket,28,https://www.espncricinfo.com/cricketers/abhijeet-saket-1163686
Kanwar Abhinay,32,https://www.espncricinfo.com/cricketers/kanwar-abhinay-594566
Abhishek Goswami,26,https://www.espncricinfo.com/cricketers/abhishek-goswami-1081436
Abhishek Sharma,23,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183
Abhishek Singh,20,https://www.espncricinfo.com/cricketers/abhishek-singh-1403214
Abhishek Yadav,28,https://www.espncricinfo.com/cricketers/abhishek-yadav-955087
Abid Mushtaq,26,https://www.espncricinfo.com/cricketers/abid-mushtaq-1201536
Abishek Porel,21,https://www.espncricinfo.com/cricketers/abishek-porel-1277545
Aditya Jadeja,21,https://www.espncricinfo.com/cricketers/aditya-jadeja-1300584
Mayank Agarwal,32,https://www.espncricinfo.com/cricketers/mayank-agarwal-398438
Shubham Agarwal,30,https://www.espncricinfo.com/cricketers/shubham-agarwal-1079668
Tanmay Agarwal,28,https://www.espncricinfo.com/cricketers/tanmay-agarwal-792725
Khaleel Ahmed,26,https://www.espncricinfo.com/cricketers/khaleel-ahmed-942645
M Ajinas,26,https://www.espncricinfo.com/cricketers/m-ajinas-1403213
Guruswamy Ajitesh,21,https://www.espncricinfo.com/cricketers/guruswamy-ajitesh-1320758
Akash Deep,27,https://www.espncricinfo.com/cricketers/akash-deep-1176959
Akash Singh,21,https://www.espncricinfo.com/cricketers/akash-singh-1175458
Akash Sudan,30,https://www.espncricinfo.com/cricketers/akash-sudan-959675
Shambu Akhil,25,https://www.espncricinfo.com/cricketers/shambu-akhil-1324452
Akshit Rana,21,https://www.espncricinfo.com/cricketers/akshit-rana-1339051
Al Bashid Muhammed,25,https://www.espncricinfo.com/cricketers/al-bashid-muhammed-1201540
Felix Alemao,28,https://www.espncricinfo.com/cricketers/felix-alemao-955103
Aman Hakim Khan,27,https://www.espncricinfo.com/cricketers/aman-hakim-khan-1254269
Amit Ali,21,https://www.espncricinfo.com/cricketers/amit-ali-1252346
Jehu Anderson,24,https://www.espncricinfo.com/cricketers/jehu-anderson-1339016
Anikethreddy,23,https://www.espncricinfo.com/cricketers/anikethreddy-1216134
Ankit Kumar,26,https://www.espncricinfo.com/cricketers/ankit-kumar-1168733
Atharva Ankolekar,23,https://www.espncricinfo.com/cricketers/atharva-ankolekar-1175467
Ankur Malik,20,https://www.espncricinfo.com/cricketers/ankur-malik-1287083
Anmolpreet Singh,25,https://www.espncricinfo.com/cricketers/anmolpreet-singh-851261
Anuj Rawat,24,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073
Anujit Parmar,28,https://www.espncricinfo.com/cricketers/anujit-parmar-1300789
Baba Aparajith,29,https://www.espncricinfo.com/cricketers/baba-aparajith-477071
Arafat Khan,27,https://www.espncricinfo.com/cricketers/arafat-khan-1081132
A Aravinddaraj,27,https://www.espncricinfo.com/cricketers/a-aravinddaraj-1175501
Arjit Pannu,27,https://www.espncricinfo.com/cricketers/arjit-pannu-1287049
Arjun Azad,22,https://www.espncricinfo.com/cricketers/arjun-azad-1175464
