name,age,link
Abdul Basith,25,https://www.espncricinfo.com/cricketers/abdul-basith-1287067
Abhishek Sharma,23,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183
Kanika Ahuja,21,https://www.espncricinfo.com/cricketers/kanika-ahuja-1255560
Akash Deep,27,https://www.espncricinfo.com/cricketers/akash-deep-1176959
Akash Sumra,31,https://www.espncricinfo.com/cricketers/akash-sumra-1048723
Aman Hakim Khan,27,https://www.espncricinfo.com/cricketers/aman-hakim-khan-1254269
Amit Ali,21,https://www.espncricinfo.com/cricketers/amit-ali-1252346
Amit Verma,36,https://www.espncricinfo.com/cricketers/amit-verma-26441
Amitoze Singh,34,https://www.espncricinfo.com/cricketers/amitoze-singh-482315
Ankur Malik,20,https://www.espncricinfo.com/cricketers/ankur-malik-1287083
Antony Dhas,35,https://www.espncricinfo.com/cricketers/antony-dhas-851817
Baba Aparajith,29,https://www.espncricinfo.com/cricketers/baba-aparajith-477071
S Aravind,26,https://www.espncricinfo.com/cricketers/s-aravind-1113190
S Arun,23,https://www.espncricinfo.com/cricketers/s-arun-1048843
Sobhana Asha,32,https://www.espncricinfo.com/cricketers/sobhana-asha-550687
Ravichandran Ashwin,37,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
Atheeq Ur Rahman,26,https://www.espncricinfo.com/cricketers/atheeq-ur-rahman-1269850
D Avinash,30,https://www.espncricinfo.com/cricketers/d-avinash-1119009
Maan Bafna,28,https://www.espncricinfo.com/cricketers/maan-bafna-1048781
Raj Bawa,21,https://www.espncricinfo.com/cricketers/raj-bawa-1292502
Manoj Bhandage,25,https://www.espncricinfo.com/cricketers/manoj-bhandage-1057399
Nachiket Bhute,24,https://www.espncricinfo.com/cricketers/nachiket-bhute-1210279
P Bhuvaneswaran,30,https://www.espncricinfo.com/cricketers/p-bhuvaneswaran-1380111
Stuart Binny,39,https://www.espncricinfo.com/cricketers/stuart-binny-27223
Chaitanya Bishnoi,29,https://www.espncricinfo.com/cricketers/chaitanya-bishnoi-628217
Piyush Chawla,35,https://www.espncricinfo.com/cricketers/piyush-chawla-32966
Parshavi Chopra,17,https://www.espncricinfo.com/cricketers/parshavi-chopra-1346678
K Deeban Lingesh,23,https://www.espncricinfo.com/cricketers/k-deeban-lingesh-1108331
Pavan Deshpande,34,https://www.espncricinfo.com/cricketers/pavan-deshpande-422104
Archana Devi,19,https://www.espncricinfo.com/cricketers/archana-devi-1289950
Rishi Dhawan,33,https://www.espncricinfo.com/cricketers/rishi-dhawan-290727
Gaurav Dhiman,37,https://www.espncricinfo.com/cricketers/gaurav-dhiman-28619
Bharath Dhuri,30,https://www.espncricinfo.com/cricketers/bharath-dhuri-917153
Shivam Dube,30,https://www.espncricinfo.com/cricketers/shivam-dube-714451
Daryl Ferrario,25,https://www.espncricinfo.com/cricketers/daryl-ferrario-1070185
Francis Rokins,36,https://www.espncricinfo.com/cricketers/francis-rokins-1048779
Nikhil Gangta,31,https://www.espncricinfo.com/cricketers/nikhil-gangta-528332
Lakshay Garg,28,https://www.espncricinfo.com/cricketers/lakshay-garg-723207
Aneeshwar Gautam,20,https://www.espncricinfo.com/cricketers/aneeshwar-gautam-1292513
Gnaneswara Rao,39,https://www.espncricinfo.com/cricketers/gnaneswara-rao-28830
Shreyas Gopal,30,https://www.espncricinfo.com/cricketers/shreyas-gopal-344580
Krishnappa Gowtham,35,https://www.espncricinfo.com/cricketers/krishnappa-gowtham-424377
Gurinder Singh,31,https://www.espncricinfo.com/cricketers/gurinder-singh-500164
Rajvardhan Hangargekar,21,https://www.espncricinfo.com/cricketers/rajvardhan-hangargekar-1175429
Harish Kumar,34,https://www.espncricinfo.com/cricketers/harish-kumar-1048765
NS Harish,25,https://www.espncricinfo.com/cricketers/ns-harish-1194945
Shubhang Hegde,22,https://www.espncricinfo.com/cricketers/shubhang-hegde-1119008
Deepak Hooda,28,https://www.espncricinfo.com/cricketers/deepak-hooda-497121
Iqbal Abdulla,34,https://www.espncricinfo.com/cricketers/iqbal-abdulla-277237
Venkatesh Iyer,29,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403
Ravindra Jadeja,35,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675
Kedar Jadhav,38,https://www.espncricinfo.com/cricketers/kedar-jadhav-290716
Chirag Jani,34,https://www.espncricinfo.com/cricketers/chirag-jani-527362
Rongsen Jonathan,37,https://www.espncricinfo.com/cricketers/rongsen-jonathan-424176
Anshul Kamboj,23,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428
Jesal Karia,34,https://www.espncricinfo.com/cricketers/jesal-karia-340061
Codanda Ajit Karthik,30,https://www.espncricinfo.com/cricketers/codanda-ajit-karthik-779449
Mannat Kashyap,20,https://www.espncricinfo.com/cricketers/mannat-kashyap-1346682
Amanjot Kaur,24,https://www.espncricinfo.com/cricketers/amanjot-kaur-1255411
