FULL NAME,BORN,AGE,BATTING STYLE,BOWLING STYLE,PLAYING ROLE,TEAMS PLAYED,RELATIONS,IMAGE LINK
Pappanayil Abdul Basith,"October 09, 1998, Ernakulam, Kerala",25y 108d,Right hand Bat,Right arm Offbreak,Allrounder,"Kerala, Rajasthan Royals",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Abhishek Sharma,"September 04, 2000, Amritsar, Punjab",23y 143d,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Delhi Daredevils, India Under-19s, Punjab, Punjab Under-16s, Punjab Under-19s, Sunrisers Hyderabad",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/358000/358037.png"
Kanika S Ahuja,"August 07, 2002, Patiala, Punjab",21y 171d,Left hand Bat,Right arm Offbreak,Allrounder,"India Women, Punjab Women (India), Royal Challengers Bangalore Women",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Akash Deep,"December 15, 1996, Dehri, (Rotas), Bihar",27y 41d,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"Bengal, Rest of India, Royal Challengers Bangalore",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/340300/340311.png"
Akash Sumra,"July 06, 1992",31y 203d,Right hand Bat,Right arm Medium fast,Allrounder,"Albert TUTI Patriots, Ruby Trichy Warriors, Siechem Madurai Panthers",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Aman Hakim Khan,"November 23, 1996",27y 63d,Right hand Bat,Right arm Medium,Allrounder,"Delhi Capitals, Kolkata Knight Riders, Mumbai",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/341000/341035.png"
Amit Muslem Ali,"October 26, 2002, Bishalgarh, Tripura",21y 91d,Right hand Bat,Legbreak,Bowling Allrounder,Tripura,,https://wassets.hscicdn.com/static/images/player-jersey.svg
Amit Verma,"June 30, 1987, Bangalore, Karnataka",36y 209d,Left hand Bat,Legbreak,Allrounder,"Gulbarga Mystics, Karnataka, Karnataka Under-14s, Mangalore United, Manipal Tigers",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Amitoze Singh,"February 14, 1989, Delhi",34y 345d,Right hand Bat,Right arm Medium,Allrounder,"Manipal Tigers, Mumbai Indians, Punjab",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Ankur Malik,"November 05, 2003, Meerutm Uttar Pradesh",20y 81d,Right hand Bat,Legbreak,Allrounder,Sikkim,,https://wassets.hscicdn.com/static/images/player-jersey.svg
