Full Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams played,Relations
Ankur Malik,"November 05, 2003, Meerutm Uttar Pradesh",20y 72d,Right hand Bat,Legbreak,Allrounder,Sikkim,--
Aneeshwar Gautam Gautam,"January 16, 2003, Bengaluru, Karnataka",21y,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"India B Under-19s, India Under-19s, Mangalore Dragons, Mangalore United, Royal Challengers Bangalore",--
Arshin Atul Kulkarni,"February 15, 2005, Solapur, Maharashtra",18y 335d,Right hand Bat,Right arm Medium,Allrounder,"India Under-19s, Maharashtra",--
L Manvanth Kumar,"January 11, 2004",20y 5d,Left hand Bat,Right arm Fast medium,Allrounder,Hubli Tigers,--
Musheer Khan,"February 27, 2005, Kurla",18y 323d,Right hand Bat,Slow Left arm Orthodox,Allrounder,"India Under-19s, Mumbai",SN Khan(brother)
Kaki Nitish Kumar Reddy,"May 26, 2003, Visakhapatnam, Andhra Pradesh",20y 235d,Right hand Bat,Right arm Medium fast,Batting Allrounder,"India B Under-19s, Sunrisers Hyderabad",--
Nishant Sindhu,"April 09, 2004, Rohtak, Haryana",19y 282d,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Chennai Super Kings, Haryana, India A Under-19s, India Under-19s",--
Sunny Sandhu,"October 15, 2003",20y 93d,Right hand Bat,Right arm Medium fast,Allrounder,"Salem Spartans, Siechem Madurai Panthers",--
Amit Muslem Ali,"October 26, 2002, Bishalgarh, Tripura",21y 82d,Right hand Bat,Legbreak,Bowling Allrounder,Tripura,--
Raj Angad Bawa,"November 12, 2002, Nahan, Himachal Pradesh",21y 65d,Left hand Bat,Right arm Medium fast,Allrounder,"Chandigarh, India A Under-19s, India Under-19s, Punjab Kings",--
Rajvardhan S Hangargekar,"November 10, 2002, Tuljapur, Maharashtra",21y 67d,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"Chennai Super Kings, India Under-19s, Maharashtra",--
