Player Name,Runs,Wkts
Aarya Desai,355,0
Abdul Basith,505,2
Abdul Samad,2709,12
Abhijeet Saket,77,63
Kanwar Abhinay,2894,83
Abhishek Goswami,620,0
Abhishek Sharma,4762,77
Abhishek Singh,13,0
Abhishek Yadav,893,17
Abid Mushtaq,1234,121
Abishek Porel,1460,0
Aditya Jadeja,1,11
Mayank Agarwal,18575,3
Shubham Agarwal,378,52
Tanmay Agarwal,7674,1
Khaleel Ahmed,6880,254
M Ajinas,35,0
Guruswamy Ajitesh,100,0
Akash Deep,4306,182
Akash Singh,1402,40
Akash Sudan,52,15
Shambu Akhil,0,0
Akshit Rana,134,0
Al Bashid Muhammed,777,0
Felix Alemao,3181,87
Aman Hakim Khan,297,6
Amit Ali,502,26
Jehu Anderson,475,0
Anikethreddy,73,38
Ankit Kumar,2195,0
Atharva Ankolekar,122,14
Ankur Malik,957,36
Anmolpreet Singh,4892,1
Anuj Rawat,2855,0
Anujit Parmar,1,0
Baba Aparajith,9587,149
Arafat Khan,876,27
A Aravinddaraj,28,15
Arjit Pannu,540,0
Arjun Azad,420,3
Vaibhav Arora,3131,129
Arshad Khan,490,16
Arshdeep Singh,7006,289
Arun Karthik,8831,10
Priyansh Arya,317,0
Aryan Sahani,100,0
Ashwin Hebbar,3778,15
Murugan Ashwin,4214,130
Ravichandran Ashwin,51784,1987
KM Asif,1592,60
Auqib Nabi,845,99
Mohit Avasthi,2539,117
Avesh Khan,8656,335
Avinash Jadhav,46,0
Avneesh Sudha,1733,27
Ayush Awasthi,281,0
Babul Kumar,3788,0
Satyajeet Bachhav,1101,256
Ayush Badoni,1426,11
Ankush Bains,4394,0
Kashyap Bakhale,17,0
Bal Krishna,603,24
Siddharth Balodi,97,5
Baltej Singh,3993,188
Basil Thampi,7450,251
Basir Rahman,654,0
Rahul Batham,96,14
Raj Bawa,456,26
Ankit Bawne,12682,13
Shivam Bhambri,1458,0
Manoj Bhandage,386,21
Mandar Bhandari,139,0
Srikar Bharat,8571,0
Anant Bharwad,35,0
Prashant Bhati,0,0
Bhavesh Seth,329,0
Ricky Bhui,7893,8
Bhupender Chauhan,1,3
Parth Bhut,543,60
J Biakthanpuia,7,0
Baljeet Singh Bihari,109,0
Bikash Singh,529,15
Jyoti Bind,15,0
Himanshu Bisht,127,23
Jay Bista,4188,25
Kartik Biswal,676,0
Rahul Buddhi,1216,0
Jasprit Bumrah,23232,1056
Jivesh Butte,40,10
KC Cariappa,1998,78
Yuzvendra Chahal,22309,863
Deepak Chahar,11819,423
Rahul Chahar,7697,303
Supriyo Chakraborty,193,10
Kunal Chandela,2861,0
Shashank Chandrakar,1498,0
Anish Charak,138,8
Sudip Chatterjee,6806,3
Shubham Chaubey,606,1
Sakshaim Chaudhary,3,5
Shivam Chaudhary,3746,47
Yuvraj Chaudhary,543,12
Saurav Chauhan,1165,0
Nayan Chavan,13,0
Piyush Chawla,30389,1044
LR Chethan,95,0
Pranesh Chettri,70,0
Sabin Chettri,3,0
Bidash Chingakham,107,7
Agni Chopra,969,0
Prashant Chopra,10197,34
Aniket Choudhary,9699,410
Mukul Choudhary,39,0
Akash Choudhary,264,86
Raj Choudhary,6,8
Varun Choudhary,75,80
Avinov Choudhury,64,30
Ashish Chouhan,0,1
Rishabh Chouhan,296,1
Rohan Chowdury,8,0
Yuvraj Chudasama,992,35
Pradeep Dadhe,111,95
Mayank Dagar,6548,215
Rishav Das,4356,0
Sitesh Das,25,1
Bikramkumar Das,1712,4
Pallavkumar Das,4280,36
Bikramjit Debnath,264,10
Denish Das,895,3
Kumar Deobrat,5704,0
Harvik Desai,4477,0
Sanjeet Desai,853,0
Harsh Desai,72,0
Tushar Deshpande,6156,232
Dev Lakra,26,1
Rajat Dey,2134,15
Vineet Dhankhar,447,2
Rishi Dhawan,8487,629
Shikhar Dhawan,41085,16
Dheeraj Kumar,89,0
Yash Dhull,2459,0
Rajesh Dhuper,2294,0
Royston Dias,111,70
Paras Dogra,15220,5
Techi Doria,1638,43
Shivam Dube,4639,140
Praveen Dubey,1074,47
Saurabh Dubey,494,16
Harsh Dubey,229,21
Shubham Dubey,716,0
Mrinmoy Dutta,81,66
Prerit Dutta,63,12
Abhimanyu Easwaran,11412,2
Fabid Ahmed,1814,115
Fazil Rashid,1540,0
Ishaan Gadekar,1068,0
Gagandeep Singh,36,6
Ruturaj Gaikwad,10721,0
Chintan Gaja,6422,289
Sammar Gajjar,0,0
Vinay Galetiya,85,37
Chirag Gandhi,3758,1
Ganesh Satish,10987,7
Nikhil Gangta,5128,19
Sakibul Gani,2495,15
Deepraj Gaonkar,1081,11
Lakshay Garg,5830,199
Priyam Garg,3737,0
Aditya Garhwal,1450,10
Shubham Garhwal,22,0
Gaurav Chaudhary,5,5
Gaurav Joshi,86,0
Gaurav Puri,1355,0
Gaurav Singh,10,0
Gaurav Yadav,223,181
Sumit Ghadigaonkar,1084,2
Sudip Kumar Gharami,2281,0
Subham Ghosh,458,16
Shreyas Gopal,4511,436
Krishnappa Gowtham,11046,395
Raghav Goyal,33,0
Arpit Guleria,2364,75
Arjit Gupta,2024,5
Gurkeerat Singh Mann,8839,96
Gurnoor Brar,423,8
Ram Gurung,203,14
Gurvinder Singh,8,0
Habib Gandhi,179,0
Nabam Hachang,0,0
Rajvardhan Hangargekar,1754,62
Hari Nishaanth,994,1
Rajashekhar Harikant,124,0
Harpreet Brar,2155,84
Harpreet Singh,10504,20
Harsh Tyagi,923,73
Harshit Rana,1533,59
Vikas Hathwala,2099,8
Shubhang Hegde,867,20
Maramreddy Reddy,0,0
Henan Nazir,1073,0
Himmat Singh,3704,1
Mihir Hirwani,718,119
Deepak Hooda,10092,96
Chopise Hopongkyu,1347,29
Sanidhya Hurkat,457,4
Riboklang Hynniewta,71,3
Ishan Kishan,12787,0
Shreyas Iyer,20473,10
Venkatesh Iyer,4676,80
Sheldon Jackson,11185,2
Dharmendrasinh Jadeja,13071,479
Ravindra Jadeja,20127,1539
Vishvaraj Jadeja,1899,1
Kedar Jadhav,15635,71
Narayan Jagadeesan,5694,0
RS Jaganath Sinivas,513,14
Saransh Jain,1355,124
Aprameya Jaiswal,167,3
Yashasvi Jaiswal,6812,7
Mohit Jangra,654,50
Chirag Jani,7072,260
Jasmer Dhankhar,0,10
Jassinder Singh,1,0
Pankaj Jaswal,5751,219
Jay Gohil,622,0
Licha Jhon,166,0
Sepichem Jingru,0,0
Johnson Singh,1167,3
Rongsen Jonathan,4191,63
Sijomon Joseph,829,98
Nabam Joshi,21,1
Dhruv Jurel,1223,0
Jyotsnil Singh,1209,6
Kartik Kakade,269,18
Hritik Kalia,0,1
Anshul Kamboj,234,45
Karan Kaila,436,44
Karan Lal,339,24
Karan Shinde,1851,3
Akash Kargave,623,1
Pranav Karia,0,3
Akshay Karnewar,3994,168
Dinesh Karthik,27767,1
Jayasundaram Karthikeyan,0,0
Kartik Tyagi,1866,59
Kumar Kartikeya,4310,183
Vishu Kashyap,17,4
Suraj Kashyap,56,8
Siddarth Kaul,16345,660
Kaushik Maity,21,4
Madhav Kaushik,1564,0
Vidwath Kaverappa,2093,118
Azim Kazi,3100,65
Kushang Patel,204,102
Langlonyamba Meitan Keishangbam,2008,5
Khrievitso Kense,88,42
Eknath Kerkar,2011,0
