Player Name,Runs,Wkts
Abdul Basith,505,2
Abhishek Sharma,4762,77
Kanika Ahuja,16,0
Akash Deep,4306,182
Aman Hakim Khan,297,6
Amit Ali,502,26
Amit Verma,7335,183
Amitoze Singh,2001,46
Ankur Malik,957,36
Antony Dhas,132,23
Baba Aparajith,9587,149
Ashutosh Aman,4184,236
Ravichandran Ashwin,51784,1987
Raj Bawa,456,26
Manoj Bhandage,386,21
Nachiket Bhute,184,19
Stuart Binny,8684,344
Piyush Chawla,30389,1044
Pavan Deshpande,1837,25
Rishi Dhawan,8487,629
Gaurav Dhiman,119,0
Shivam Dube,4639,140
Daryl Ferrario,131,0
Nikhil Gangta,5128,19
Lakshay Garg,5830,199
Gnaneswara Rao,3015,41
Shreyas Gopal,4511,436
Krishnappa Gowtham,11046,395
Gurinder Singh,3393,248
Rajvardhan Hangargekar,1754,62
Harish Kumar,9,1
Shubhang Hegde,867,20
Deepak Hooda,10092,96
Iqbal Abdulla,4263,437
Venkatesh Iyer,4676,80
Ravindra Jadeja,20127,1539
Kedar Jadhav,15635,71
Chirag Jani,7072,260
Rongsen Jonathan,4191,63
Anshul Kamboj,234,45
Jesal Karia,1314,69
Codanda Ajit Karthik,447,16
Mannat Kashyap,30,0
Amanjot Kaur,147,10
Harmanpreet Kaur,6745,74
Tanush Kotian,2866,94
Jagatheesan Kousik,773,34
Kranthi Kumar,505,5
Arshin Kulkarni,121,4
Lalit Yadav,2945,110
Imliwati Lemtur,5009,155
Mahipal Lomror,6363,68
Ajay Mandal,2174,173
Mandeep Singh,14117,31
Prerak Mankad,4844,119
Abhinav Manohar,763,0
Mayank Mishra,3307,140
Ashok Menaria,8937,74
Darshan Misal,4921,246
Mohit Rathee,159,14
Monu Kumar,1393,54
Shams Mulani,2182,289
Shrikant Mundhe,5514,317
Manisankar Murasingh,5538,400
Musheer Khan,96,2
Yogesh Nagar,2864,44
Gneshwar Naveen,65,3
Dikshanshu Negi,2070,55
Abhay Negi,3017,130
Nitish Kumar Reddy,807,50
Shikha Pandey,775,122
Hardik Pandya,11528,474
Krunal Pandya,5740,263
Axar Patel,19748,730
Irfan Pathan,11854,1130
Shreyanka Patil,18,12
Sridam Paul,489,1
Govinda Poddar,7057,99
Suyash Prabhudessai,4078,19
Prince Yadav,118,8
Nidhish Rajagopal,1,0
Rajesh Bishnoi,2604,101
Sneh Rana,1815,66
Abhishek Raut,2805,85
Ramalingam Rohit,7,3
Anukul Roy,2575,153
Sachin Kumar,1506,55
Parth Sahani,1533,15
Biplab Samantray,6761,166
Sanjay Yadav,1543,99
Sanvir Singh,1558,37
Saurabh Kumar,2446,357
Jalaj Saxena,9287,613
Shahbaz Ahmed,3415,208
Vijay Shankar,7815,138
Deepti Sharma,3314,229
Shubham Sharma,4691,47
Karan Sharma,1532,40
Shashank Singh,2500,60
Atit Sheth,2187,264
Shubham Sharma,2173,72
Nishant Sindhu,1735,71
Malliksab Sirur,91,14
Sonu Yadav,98,19
Sumeet Verma,2779,14
Sumit Kumar,1615,93
Manav Suthar,1593,70
Atharva Taide,3242,19
Abhishek Tanwar,68,13
Rahul Tewatia,3727,153
Tilak Varma,4526,19
Utkarsh Singh,2472,87
Devika Vaidya,269,22
Akash Vasisht,2284,74
M Venkatesh,20,19
Hanuma Vihari,15025,81
Vivrant Sharma,1447,19
Samarth Vyas,2773,5
Washington Sundar,8564,277
Yuvraj Singh,544,76
