,name,age,link
0,Abdul Basith,Age: 25y 97d,https://www.espncricinfo.com/cricketers/abdul-basith-1287067
1,Abhishek Sharma,Age: 23y 132d,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183
2,Kanika Ahuja,Age: 21y 160d,https://www.espncricinfo.com/cricketers/kanika-ahuja-1255560
3,Akash Deep,Age: 27y 30d,https://www.espncricinfo.com/cricketers/akash-deep-1176959
4,Akash Sumra,Age: 31y 192d,https://www.espncricinfo.com/cricketers/akash-sumra-1048723
5,Aman Hakim Khan,Age: 27y 52d,https://www.espncricinfo.com/cricketers/aman-hakim-khan-1254269
6,Amit Ali,Age: 21y 80d,https://www.espncricinfo.com/cricketers/amit-ali-1252346
7,Amit Verma,Age: 36y 198d,https://www.espncricinfo.com/cricketers/amit-verma-26441
8,Amitoze Singh,Age: 34y 334d,https://www.espncricinfo.com/cricketers/amitoze-singh-482315
9,Ankur Malik,Age: 20y 70d,https://www.espncricinfo.com/cricketers/ankur-malik-1287083
10,Antony Dhas,Age: 35y 92d,https://www.espncricinfo.com/cricketers/antony-dhas-851817
11,Baba Aparajith,Age: 29y 190d,https://www.espncricinfo.com/cricketers/baba-aparajith-477071
12,S Aravind,Age: 26y 278d,https://www.espncricinfo.com/cricketers/s-aravind-1113190
13,S Arun,Age: 23y 218d,https://www.espncricinfo.com/cricketers/s-arun-1048843
14,Sobhana Asha,Age: 32y 304d,https://www.espncricinfo.com/cricketers/sobhana-asha-550687
15,Ravichandran Ashwin,Age: 37y 119d,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
16,Atheeq Ur Rahman,Age: 26y 35d,https://www.espncricinfo.com/cricketers/atheeq-ur-rahman-1269850
17,D Avinash,,https://www.espncricinfo.com/cricketers/d-avinash-1119009
18,Maan Bafna,Age: 28y 195d,https://www.espncricinfo.com/cricketers/maan-bafna-1048781
19,Raj Bawa,Age: 21y 63d,https://www.espncricinfo.com/cricketers/raj-bawa-1292502
20,Manoj Bhandage,Age: 25y 101d,https://www.espncricinfo.com/cricketers/manoj-bhandage-1057399
21,Rajat Bhatia,Age: 44y 84d,https://www.espncricinfo.com/cricketers/rajat-bhatia-26907
22,Nachiket Bhute,Age: 24y 74d,https://www.espncricinfo.com/cricketers/nachiket-bhute-1210279
23,P Bhuvaneswaran,Age: 30y 3d,https://www.espncricinfo.com/cricketers/p-bhuvaneswaran-1380111
24,Stuart Binny,Age: 39y 225d,https://www.espncricinfo.com/cricketers/stuart-binny-27223
25,Bipul Sharma,Age: 40y 108d,https://www.espncricinfo.com/cricketers/bipul-sharma-35928
26,Chaitanya Bishnoi,Age: 29y 142d,https://www.espncricinfo.com/cricketers/chaitanya-bishnoi-628217
