,name,age,link
0,Aarya Desai,Age: 20y 286d,https://www.espncricinfo.com/cricketers/aarya-desai-1353014
1,Abdul Basith,Age: 25y 97d,https://www.espncricinfo.com/cricketers/abdul-basith-1287067
2,Abdul Samad,Age: 22y 78d,https://www.espncricinfo.com/cricketers/abdul-samad-1175485
3,Abhijeet Saket,Age: 28y 164d,https://www.espncricinfo.com/cricketers/abhijeet-saket-1163686
4,Kanwar Abhinay,Age: 32y 212d,https://www.espncricinfo.com/cricketers/kanwar-abhinay-594566
5,Abhishek Goswami,Age: 26y 69d,https://www.espncricinfo.com/cricketers/abhishek-goswami-1081436
6,Abhishek Sharma,Age: 23y 132d,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183
7,Abhishek Singh,Age: 20y 314d,https://www.espncricinfo.com/cricketers/abhishek-singh-1403214
8,Abhishek Yadav,Age: 28y 220d,https://www.espncricinfo.com/cricketers/abhishek-yadav-955087
9,Abid Mushtaq,Age: 26y 362d,https://www.espncricinfo.com/cricketers/abid-mushtaq-1201536
10,Abishek Porel,Age: 21y 89d,https://www.espncricinfo.com/cricketers/abishek-porel-1277545
11,Aditya Jadeja,Age: 21y 302d,https://www.espncricinfo.com/cricketers/aditya-jadeja-1300584
12,Mayank Agarwal,Age: 32y 332d,https://www.espncricinfo.com/cricketers/mayank-agarwal-398438
13,Shubham Agarwal,Age: 30y 54d,https://www.espncricinfo.com/cricketers/shubham-agarwal-1079668
14,Tanmay Agarwal,Age: 28y 256d,https://www.espncricinfo.com/cricketers/tanmay-agarwal-792725
15,Khaleel Ahmed,Age: 26y 40d,https://www.espncricinfo.com/cricketers/khaleel-ahmed-942645
16,M Ajinas,Age: 26y 251d,https://www.espncricinfo.com/cricketers/m-ajinas-1403213
17,Guruswamy Ajitesh,Age: 21y 110d,https://www.espncricinfo.com/cricketers/guruswamy-ajitesh-1320758
18,Akash Deep,Age: 27y 30d,https://www.espncricinfo.com/cricketers/akash-deep-1176959
19,Akash Singh,Age: 21y 263d,https://www.espncricinfo.com/cricketers/akash-singh-1175458
20,Akash Sudan,Age: 30y 252d,https://www.espncricinfo.com/cricketers/akash-sudan-959675
21,Shambu Akhil,Age: 25y 84d,https://www.espncricinfo.com/cricketers/shambu-akhil-1324452
22,Akshit Rana,Age: 21y 340d,https://www.espncricinfo.com/cricketers/akshit-rana-1339051
23,Al Bashid Muhammed,Age: 25y 262d,https://www.espncricinfo.com/cricketers/al-bashid-muhammed-1201540
24,Felix Alemao,Age: 28y 178d,https://www.espncricinfo.com/cricketers/felix-alemao-955103
25,Aman Hakim Khan,Age: 27y 52d,https://www.espncricinfo.com/cricketers/aman-hakim-khan-1254269
26,Amit Ali,Age: 21y 80d,https://www.espncricinfo.com/cricketers/amit-ali-1252346
27,Jehu Anderson,Age: 24y 63d,https://www.espncricinfo.com/cricketers/jehu-anderson-1339016
28,Anikethreddy,Age: 23y 78d,https://www.espncricinfo.com/cricketers/anikethreddy-1216134
29,Ankit Kumar,Age: 26y 74d,https://www.espncricinfo.com/cricketers/ankit-kumar-1168733
30,Atharva Ankolekar,Age: 23y 110d,https://www.espncricinfo.com/cricketers/atharva-ankolekar-1175467
31,Ankur Malik,Age: 20y 70d,https://www.espncricinfo.com/cricketers/ankur-malik-1287083
32,Anmolpreet Singh,Age: 25y 292d,https://www.espncricinfo.com/cricketers/anmolpreet-singh-851261
33,Anuj Rawat,Age: 24y 89d,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073
34,Anujit Parmar,Age: 28y 49d,https://www.espncricinfo.com/cricketers/anujit-parmar-1300789
35,Baba Aparajith,Age: 29y 190d,https://www.espncricinfo.com/cricketers/baba-aparajith-477071
36,Arafat Khan,Age: 27y 18d,https://www.espncricinfo.com/cricketers/arafat-khan-1081132
37,A Aravinddaraj,Age: 27y 219d,https://www.espncricinfo.com/cricketers/a-aravinddaraj-1175501
38,Arjit Pannu,Age: 27y 265d,https://www.espncricinfo.com/cricketers/arjit-pannu-1287049
39,Arjun Azad,Age: 22y 159d,https://www.espncricinfo.com/cricketers/arjun-azad-1175464
40,Vaibhav Arora,Age: 26y 31d,https://www.espncricinfo.com/cricketers/vaibhav-arora-1209292
41,Arshad Khan,Age: 26y 25d,https://www.espncricinfo.com/cricketers/arshad-khan-1244751
42,Arshdeep Singh,Age: 24y 343d,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976
43,Arun Karthik,Age: 37y 333d,https://www.espncricinfo.com/cricketers/arun-karthik-319745
44,Priyansh Arya,Age: 22y 361d,https://www.espncricinfo.com/cricketers/priyansh-arya-1175456
45,Aryan Sahani,Age: 16y 207d,https://www.espncricinfo.com/cricketers/aryan-sahani-1403181
46,Ashwin Hebbar,Age: 28y 60d,https://www.espncricinfo.com/cricketers/ashwin-hebbar-801019
47,Murugan Ashwin,Age: 33y 128d,https://www.espncricinfo.com/cricketers/murugan-ashwin-528067
48,Ravichandran Ashwin,Age: 37y 119d,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
49,KM Asif,Age: 30y 174d,https://www.espncricinfo.com/cricketers/km-asif-1083030
50,Auqib Nabi,Age: 27y 71d,https://www.espncricinfo.com/cricketers/auqib-nabi-1159732
51,Mohit Avasthi,Age: 31y 57d,https://www.espncricinfo.com/cricketers/mohit-avasthi-1252336
52,Avesh Khan,Age: 27y 32d,https://www.espncricinfo.com/cricketers/avesh-khan-694211
53,Avinash Jadhav,Age: 24y 210d,https://www.espncricinfo.com/cricketers/avinash-jadhav-1273885
54,Avneesh Sudha,Age: 22y 55d,https://www.espncricinfo.com/cricketers/avneesh-sudha-1171647
55,Ayush Awasthi,Age: 17y 57d,https://www.espncricinfo.com/cricketers/ayush-awasthi-1403178
56,Babul Kumar,Age: 31y 2d,https://www.espncricinfo.com/cricketers/babul-kumar-598933
57,Satyajeet Bachhav,Age: 31y 47d,https://www.espncricinfo.com/cricketers/satyajeet-bachhav-591653
58,Ayush Badoni,Age: 24y 42d,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270
59,Ankush Bains,Age: 28y 29d,https://www.espncricinfo.com/cricketers/ankush-bains-604534
60,Kashyap Bakhale,Age: 25y 161d,https://www.espncricinfo.com/cricketers/kashyap-bakhale-955101
61,Bal Krishna,Age: 25y 34d,https://www.espncricinfo.com/cricketers/bal-krishna-1246457
62,Siddharth Balodi,Age: 25y 202d,https://www.espncricinfo.com/cricketers/siddharth-balodi-1351987
63,Baltej Singh,Age: 33y 71d,https://www.espncricinfo.com/cricketers/baltej-singh-527292
64,Basil Thampi,Age: 30y 125d,https://www.espncricinfo.com/cricketers/basil-thampi-732291
65,Basir Rahman,Age: 30y 319d,https://www.espncricinfo.com/cricketers/basir-rahman-1206054
66,Rahul Batham,Age: 25y 146d,https://www.espncricinfo.com/cricketers/rahul-batham-942649
67,Raj Bawa,Age: 21y 63d,https://www.espncricinfo.com/cricketers/raj-bawa-1292502
68,Ankit Bawne,Age: 31y 28d,https://www.espncricinfo.com/cricketers/ankit-bawne-327123
69,Shivam Bhambri,Age: 28y 106d,https://www.espncricinfo.com/cricketers/shivam-bhambri-1201546
70,Manoj Bhandage,Age: 25y 101d,https://www.espncricinfo.com/cricketers/manoj-bhandage-1057399
71,Mandar Bhandari,Age: 29y 213d,https://www.espncricinfo.com/cricketers/mandar-bhandari-1159729
72,Srikar Bharat,Age: 30y 103d,https://www.espncricinfo.com/cricketers/srikar-bharat-529436
73,Anant Bharwad,Age: 28y 260d,https://www.espncricinfo.com/cricketers/anant-bharwad-1404554
74,Prashant Bhati,Age: 24y 88d,https://www.espncricinfo.com/cricketers/prashant-bhati-1403166
75,Bhavesh Seth,Age: 26y 99d,https://www.espncricinfo.com/cricketers/bhavesh-seth-1292544
76,Ricky Bhui,Age: 27y 107d,https://www.espncricinfo.com/cricketers/ricky-bhui-642531
77,Bhupender Chauhan,Age: 29y 76d,https://www.espncricinfo.com/cricketers/bhupender-chauhan-1273908
78,Parth Bhut,Age: 26y 163d,https://www.espncricinfo.com/cricketers/parth-bhut-1211064
79,J Biakthanpuia,Age: 26y 48d,https://www.espncricinfo.com/cricketers/j-biakthanpuia-1403161
80,Baljeet Singh Bihari,Age: 21y 122d,https://www.espncricinfo.com/cricketers/baljeet-singh-bihari-1339036
81,Bikash Singh,Age: 31y 58d,https://www.espncricinfo.com/cricketers/bikash-singh-1340427
82,Jyoti Bind,Age: 35y 141d,https://www.espncricinfo.com/cricketers/jyoti-bind-1403540
83,Himanshu Bisht,Age: 27y 58d,https://www.espncricinfo.com/cricketers/himanshu-bisht-1175434
84,Jay Bista,Age: 28y 22d,https://www.espncricinfo.com/cricketers/jay-bista-857833
85,Kartik Biswal,Age: 26y 198d,https://www.espncricinfo.com/cricketers/kartik-biswal-1252328
86,Rahul Buddhi,Age: 26y 116d,https://www.espncricinfo.com/cricketers/rahul-buddhi-1212693
87,Jasprit Bumrah,Age: 30y 39d,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383
88,Jivesh Butte,Age: 25y 352d,https://www.espncricinfo.com/cricketers/jivesh-butte-1403200
89,KC Cariappa,Age: 29y 276d,https://www.espncricinfo.com/cricketers/kc-cariappa-777537
90,Yuzvendra Chahal,Age: 33y 175d,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246
91,Deepak Chahar,Age: 31y 160d,https://www.espncricinfo.com/cricketers/deepak-chahar-447261
92,Rahul Chahar,Age: 24y 163d,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812
93,Supriyo Chakraborty,Age: 28y 250d,https://www.espncricinfo.com/cricketers/supriyo-chakraborty-1176958
94,Kunal Chandela,Age: 29y 191d,https://www.espncricinfo.com/cricketers/kunal-chandela-1121574
95,Shashank Chandrakar,Age: 29y 246d,https://www.espncricinfo.com/cricketers/shashank-chandrakar-1131881
96,Anish Charak,Age: 23y 270d,https://www.espncricinfo.com/cricketers/anish-charak-1246426
97,Sudip Chatterjee,Age: 32y 64d,https://www.espncricinfo.com/cricketers/sudip-chatterjee-447142
98,Shubham Chaubey,Age: 28y 91d,https://www.espncricinfo.com/cricketers/shubham-chaubey-950217
99,Sakshaim Chaudhary,Age: 24y 121d,https://www.espncricinfo.com/cricketers/sakshaim-chaudhary-1403164
100,Shivam Chaudhary,Age: 26y 163d,https://www.espncricinfo.com/cricketers/shivam-chaudhary-826869
101,Yuvraj Chaudhary,Age: 22y 100d,https://www.espncricinfo.com/cricketers/yuvraj-chaudhary-1175463
102,Saurav Chauhan,Age: 23y 232d,https://www.espncricinfo.com/cricketers/saurav-chauhan-1287369
103,Nayan Chavan,Age: 23y 364d,https://www.espncricinfo.com/cricketers/nayan-chavan-1403207
104,Piyush Chawla,Age: 35y 21d,https://www.espncricinfo.com/cricketers/piyush-chawla-32966
105,LR Chethan,Age: 23y 234d,https://www.espncricinfo.com/cricketers/lr-chethan-1197718
106,Pranesh Chettri,Age: 23y 321d,https://www.espncricinfo.com/cricketers/pranesh-chettri-1403541
107,Sabin Chettri,Age: 29y 192d,https://www.espncricinfo.com/cricketers/sabin-chettri-1205287
108,Bidash Chingakham,Age: 22y 358d,https://www.espncricinfo.com/cricketers/bidash-chingakham-1246509
109,Agni Chopra,Age: 25y 71d,https://www.espncricinfo.com/cricketers/agni-chopra-1403162
110,Prashant Chopra,Age: 31y 99d,https://www.espncricinfo.com/cricketers/prashant-chopra-500135
111,Aniket Choudhary,Age: 33y 351d,https://www.espncricinfo.com/cricketers/aniket-choudhary-527299
112,Mukul Choudhary,Age: 19y 161d,https://www.espncricinfo.com/cricketers/mukul-choudhary-1354217
113,Akash Choudhary,Age: 24y 47d,https://www.espncricinfo.com/cricketers/akash-choudhary-1175450
